coingecko_id,symbol,mcap_usd,median_daily_volume_usd,amihud_illiq,days_to_liquidate_1pct,realized_vol_ann_90d,max_drawdown_90d,n_obs
chainlink,LINK,6764069747.427362,354349768.8037044,7.024830933496225e-05,0.19088681136333369,0.7453173594829601,-0.350335616166361,365
shiba-inu,SHIB,3604585964.6333947,124405180.8604125,0.00018367792294352034,0.28974564722331636,0.7025675678923027,-0.3287050859177678,365
bittensor,TAO,2364198054.4972744,162513643.4565903,0.00023903323123873447,0.14547689684458925,1.0437972722059405,-0.3883993774689648,365
uniswap,UNI,2104769634.419714,188926421.52970478,0.00013508879268357344,0.11140684385898784,0.8703216034916779,-0.38003746753821266,365
pepe,PEPE,1596651986.3251882,345707352.0602044,8.624364480391295e-05,0.046185074653753204,1.055390310815391,-0.3668803322624894,365
aave,AAVE,1428301515.5028918,339076074.72758436,9.214755983445193e-05,0.04212333520288618,0.9368334201999584,-0.43759911242162186,365
quant-network,QNT,1068082218.8140013,12649940.458854022,0.0017638144135807509,0.8443377439507417,0.7400573439203969,-0.3070313963317246,365
render-token,RNDR,940850720.7287743,73210500.1997917,0.0004916193246286064,0.12851308462053798,0.9321341723212139,-0.3812148211607045,365
ethena,ENA,934685579.8702703,102085174.32594213,0.00033667319742963976,0.09155938519397186,1.008330899753417,-0.5447830443050373,365
worldcoin-wld,WLD,869925129.3282409,89767253.10030892,0.0003798169465434585,0.09690896170746781,1.2101956582709033,-0.5868039759343496,365
arbitrum,ARB,784664939.2565342,75017477.87454493,0.000369853774677987,0.10459761664725177,0.8279888772767017,-0.5016137328329229,365
fetch-ai,FET,467778230.20318645,64449081.47926536,0.0005380676312695253,0.07258105460411886,1.0311489756172774,-0.3908637328030129,365
layerzero,ZRO,394759018.2311828,76403129.38226202,0.0005997039856659202,0.051667912220730486,1.1415357420927599,-0.3508358749367291,365
curve-dao-token,CRV,342468735.8162529,50887198.93504561,0.0005581228479038024,0.06729958476460715,0.8073685094255851,-0.42623188844310256,365
injective-protocol,INJ,329055367.0557799,42909176.7204112,0.0006193442668308783,0.0766864787921353,0.8229597128267566,-0.40056345209003064,365
lido-dao,LDO,322307620.0206526,26713739.318009302,0.0011215494481095043,0.12065237898139033,0.9597754054433137,-0.46667496302941636,365
floki,FLOKI,313125039.69578457,29149404.898635104,0.0009442661985474437,0.10742073149851729,0.873024551515242,-0.3865370725301477,365
the-graph,GRT,267275767.62510926,14259022.827705659,0.0017540557918980652,0.18744325670464973,0.7421155594163528,-0.3670420909254759,365
optimism,OP,260850835.01542863,57684066.64146367,0.0005028905987422003,0.04522060426785642,0.942115762294596,-0.6653101696278284,365
olympus,OHM,258960289.18090147,169461.3133984416,0.07419717740612099,15.281380982338293,0.31424090889255807,-0.26517641392925584,365
ethereum-name-service,ENS,234740127.6849063,19674686.958796192,0.001401160900497819,0.11931073067465417,0.8564924950220434,-0.4019643464798972,365
compound-governance-token,COMP,221985113.68877348,14055519.017206922,0.0016395914708145134,0.157934483541317,0.9608876667106758,-0.3430484377189599,365
pendle,PENDLE,221204491.94818696,29552654.999357887,0.001144844745802599,0.07485097090362719,1.0168711527718934,-0.4982688224781142,365
theta-token,THETA,214481914.8609175,9277762.528617628,0.0032007062597731962,0.23117849179620575,0.8680679106570388,-0.521697251283755,365
decentraland,MANA,177034584.49751028,14371587.3596385,0.0017808415441196055,0.12318373751440871,0.7747532693151125,-0.516545981696906,365
convex-finance,CVX,163607288.709404,7776553.69999381,0.004376388892208281,0.21038533908604556,0.9222308307437946,-0.31705035268485604,365
jito-governance-token,JTO,156700871.662285,13646815.88301479,0.0021429069657179054,0.11482595867459404,1.1537114605608387,-0.44119608455147197,365
gala,GALA,152271615.05522278,24150880.566087283,0.0012019524880319897,0.06305012963752672,0.8057738651319948,-0.5642734706188821,365
immutable-x,IMX,150289454.9778779,12437567.361549228,0.0025223023070002127,0.12083508825246496,0.9205522780196049,-0.4673467458154158,365
1inch,1INCH,134818817.49905,11238232.842509843,0.001929054284096933,0.11996442802740577,0.7939819042005286,-0.4037981139176414,365
eigenlayer,EIGEN,126623276.65479918,21227891.14753672,0.0015192178109455098,0.059649484621317424,0.9743662447931275,-0.5505711189298066,365
enjincoin,ENJ,112636099.74736065,6909886.055833094,0.003884273782263056,0.16300717383360763,1.6445046983329425,-0.42243112934904226,365
livepeer,LPT,105236099.24292304,9684385.700101856,0.002030306883387212,0.10866574556382674,0.9063099004577293,-0.4517997515028349,365
apecoin,APE,100745200.8113447,18327353.266871758,0.0015524181160659208,0.054969858082809034,0.8227428580914797,-0.5624098835988174,365
yearn-finance,YFI,100513666.41630822,7915917.278592847,0.002777801531055335,0.12697665081484502,0.6439342436794488,-0.2917999725671728,365
blur,BLUR,94081097.63678752,6239141.410161762,0.003796929577377477,0.15079173792015124,1.2418222865663864,-0.4686754086759174,365
oasis-network,ROSE,82747340.76515166,8043686.903355498,0.0045156841297151395,0.10287240386076296,1.0650403660290282,-0.5606083788395966,365
wormhole,W,73680218.33254354,19554245.465732917,0.0015749137892374608,0.037679908673367936,0.848905939548003,-0.6039859888901112,365
numeraire,NMR,64245821.26859805,7263320.687098652,0.003373280627479241,0.08845240907883026,0.7704208761499994,-0.3675439848556723,365
sushi,SUSHI,62769666.92660224,8434989.547719242,0.0030267966338339987,0.07441582063794576,0.8365760177529069,-0.3833175221131312,365
request-network,REQ,58261482.074489504,1420144.7308226156,0.01614636846207747,0.4102503132954743,1.0111539427452687,-0.43090341921599074,365
tellor,TRB,50946218.76204571,11021405.17055086,0.0023034302049528554,0.04622479436485445,1.103127609619241,-0.31302410739939523,365
ankr,ANKR,50786627.6014681,8958715.0026349,0.002861806576840166,0.056689634156830475,0.8835145240429297,-0.3540150292594981,365
